Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
90.27.80.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.27.80.aa from any other subheading,0
90.27.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.27.80 from any other heading; or A change to subheading 90.27.80 from subheading 90.27.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.27.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.27.90 from any other heading,0
90.28.10-90.28.30,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.28.10 through 90.28.30 from any other heading; or A change to subheading 90.28.10 through 90.28.30 from subheading 90.28.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.28.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.28.90 from any other heading,0
90.29.10-90.29.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.29.10 through 90.29.20 from any other subheading, including another subheading within that group",0
90.29.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.29.90 from any other heading,0
90.30.10-90.30.89,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.30.10 through 90.30.89 from any other subheading, including another subheading within that group",0
90.30.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.30.90 from any other heading,0
90.31.10-90.31.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.31.10 through 90.31.20 from any other heading; or A change to subheading 90.31.10 through 90.31.20 from subheading 90.31.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.31.41,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.31.41 from any other heading; or A change to subheading 90.31.41 from subheading 90.31.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.31.49.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.31.49.aa from any other tariff item,0
90.31.49,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.31.49 from any other heading; or A change to subheading 90.31.49 from subheading 90.31.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.31.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.31.80 from any other heading; or A change to subheading 90.31.80 from subheading 90.31.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.31.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.31.90 from any other heading,0
90.32.10-90.32.89,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.32.10 through 90.32.89 from any other heading; or A change to subheading 90.32.10 through 90.32.89 from subheading 90.32.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.32.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.32.90 from any other heading,0
90.33,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.33 from any other heading,0
Chapter 91,Clocks and Watches and Parts Thereof,,0
91.01-91.03,Clocks and Watches and Parts Thereof,"A change to heading 91.01 through 91.03 from any other chapter; or A change to heading 91.01 through 91.03 from any heading outside that group, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
91.04,Clocks and Watches and Parts Thereof,"A change to heading 91.04 from any other chapter; or A change to heading 91.04 from any other heading within Chapter 91, whether or not there is also a change from any other chapter, provided there is a regional value content of not less: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
91.05-91.06,Clocks and Watches and Parts Thereof,"A change to heading 91.05 through 91.06 from any other chapter; or A change to heading 91.05 through 91.06 from any heading outside that group within Chapter 91, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
