Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
90.30.32,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.30.32 from any other heading,"A change to subheading 90.30.32 from subheading 90.30.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.30.33,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.30.33 from any other subheading, except from printed circuit assemblies (PCAs) of subheading 90.30.90",,,0
90.30.39,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.30.39 from any other subheading,,,0
90.30.40-90.30.82,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.30.40 through 90.30.82 from any other heading,"A change to subheading 90.30.40 through 90.30.82 from subheading 90.30.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.30.84-90.30.89,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.30.84 through 90.30.89 from any other subheading, including another subheading within that group",,,0
90.30.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.30.90 from any other heading,"No required change in tariff classification to subheading 90.30.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.31.10-90.31.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.31.10 through 90.31.20 from any other subheading, including another subheading within that group",,,0
90.31.41,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.31.41 from any other heading,"A change to subheading 90.31.41 from subheading 90.31.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.31.49.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.31.49.aa from any other tariff item,,,0
90.31.49,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.31.49 from any other subheading,,,0
90.31.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.31.80 from any other heading,"A change to subheading 90.31.80 from subheading 90.31.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.31.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to a good of 90.31.90 from any other good within that subheading or any other subheading,,,0
90.32.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.32.10 from any other heading,"A change to a good of subheading 90.32.10 from within that subheading or subheading 90.32.89 through 90.32.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 45 percent where the transaction value method is used; or (b) 35 percent where the net cost method is used.",,0
90.32.20-90.32.81,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.32.20 through 90.32.81 from any other subheading, including another subheading within that group",,,0
90.32.89,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.32.89 from any other heading,"A change to subheading 90.32.89 from subheading 90.32.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 45 percent where the transaction value method is used; or (b) 35 percent where the net cost method is used.",,0
90.32.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.32.90 from any other heading,"No required change in tariff classification to subheading 90.32.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.33,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.33 from any other heading,"No required change in tariff classification to heading 90.33, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
Chapter 91,Clocks and Watches and Parts Thereof,,,,0
91.01-91.06,Clocks and Watches and Parts Thereof,A change to heading 91.01 through 91.06 from any other chapter,"A change to heading 91.01 through 91.06 from heading 91.14, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
91.07,Clocks and Watches and Parts Thereof,A change to heading 91.07 from any other chapter,"A change to heading 91.07 from heading 91.14, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 45 percent where the transaction value method is used; or (b) 35 percent where the net cost method is used.",,0
91.08-91.10,Clocks and Watches and Parts Thereof,"A change to heading 91.08 through 91.10 from any other heading, including another heading within that group, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,,0
